公司名,官网URL,問い合わせURL,备注,URL状态,URL备注,检索时间
株式会社ZENSHIN,https://www.zenshin-inc.co.jp,https://www.zenshin-inc.co.jp/contact/,,有效,可访问 (状态码: 200),2026-04-21 14:51:01
株式会社バンコム,https://www.bankom.com,,,已修复,原URL无效，已找到新URL,2026-04-21 14:51:04
Shearwater Japan株式会社,https://www.shearwater.com/ja-jp/,https://www.shearwater.com/ja-jp/contact/,,有效,可访问 (状态码: 200),2026-04-21 14:51:06
株式会社プレミアムアーツ,https://www.premium-arts.co.jp,,,无效,URL无效且未找到替代,2026-04-21 14:51:11
株式会社ウェルネット（SIer）,https://www.wellnet.co.jp,https://www.wellnet.co.jp/pages/contribution.html#sportssupport,,有效,可访问 (状态码: 200),2026-04-21 14:51:12
HashiCorp Japan株式会社,https://Hash.org,,,已修复,原URL无效，已找到新URL,2026-04-21 14:51:15
合同会社H.U.グループ中央研究所,https://www.hu-group.co.jp,,,无效,URL无效且未找到替代,2026-04-21 14:51:17
株式会社アイサス,https://aisas.org,,,已修复,原URL无效，已找到新URL,2026-04-21 14:51:19
アイザックシステムズ株式会社,https://www.isaacsys.co.jp,,,无效,URL无效且未找到替代,2026-04-21 14:51:21
株式会社ニューコム,https://www.newcom.co.jp,https://www.newcom.co.jp/contact/,,有效,可访问 (状态码: 200),2026-04-21 14:51:23
株式会社エスディーピー,https://www.sdp.net,,,已修复,原URL无效，已找到新URL,2026-04-21 14:51:27
株式会社ソナー,https://www.sonar.org,,,已修复,原URL无效，已找到新URL,2026-04-21 14:51:30
KYCOMホールディングス株式会社,https://KYCO.org,,,已修复,原URL无效，已找到新URL,2026-04-21 14:51:38
株式会社IGG Japan,https://www.igg.jp,https://www.igg.jp/contact.php,,有效,可访问 (状态码: 200),2026-04-21 14:51:39
株式会社Retail AI,https://www.Reta.co.jp,,,已修复,原URL无效，已找到新URL,2026-04-21 14:51:44
株式会社ルミテック,https://www.lumitec.co.jp,https://www.lumitec.co.jp/contact/,,有效,可访问 (状态码: 200),2026-04-21 14:51:46
株式会社エクウス,https://www.equus.co.jp,https://www.equus.co.jp/contact/,,有效,可访问 (状态码: 200),2026-04-21 14:51:48
